NAME,ISIN,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
AXIS CAPITAL HDG.,BMG0692U1099,,,,,,51.97,62.16,57.45,55.45,55.29,55.28,47.07,55.37,47.72,69.92,71.19,71.09,71.92,70.06,67.96,67.77,65.98,68.1,68.95,66.6
CHINESE ESTATES HDG.,BMG2108M2182,,,,,,,,,71.82,73.52,65.23,63.49,63.09,64.97,63.87,54.06,60.22,70,62,61.55,62.28,62.18,58.98,57.73,53.65
CHINA YURUN FOOD GROUP,BMG211591018,,,,,,,,,,,47.12,57.23,73.76,49.58,69.81,57.95,69,69.08,63.67,62.94,61.29,60.03,70.66,65.37,58.32
CKI HOLDINGS,BMG2178K1009,,,,,,25.91,30.09,14.79,25.96,9.52,27.13,33.37,37.2,27.81,24.51,30.85,25.64,31.5,31.56,29.45,33.3,33.1,24.49,30.76,29.58
COSCO SHIPPING PORTS,BMG2442N1048,,,,,,,,,28.99,55.21,58.68,31.76,36.13,39.18,32.89,44.73,62.74,36.58,42.9,53.43,48.24,39.6,40.42,41.37,46.92
DFI RETAIL GROUP HOLDINGS,BMG2624N1535,,,,,,,,,,2.73,3.05,2.03,1.88,2.81,3.4,1.16,2.77,3.27,4.52,2.79,5.19,4.83,4.38,30.83,40.31
ESPRIT HOLDINGS,BMG3122U1457,,,,15.71,18.57,18.48,49.12,34.96,42.32,26.48,28.22,63.39,64.93,51.01,69.93,79.19,73.4,79.37,46.95,36.71,43.05,25.07,27.73,33.5,37.05
EVEREST GROUP,BMG3223R1088,,,,,,60.15,48.04,60.2,50.4,46.32,48.98,65.61,63.17,52.28,60.71,73.25,69.68,67.74,70.12,70.78,83.27,82.79,81.82,80.33,81.36
GUOCO GROUP,BMG420981224,,,,,,,,,,41.27,35.46,25.94,25.5,9.9,20.64,46.26,61.28,56.74,42.3,50.75,45.97,43.73,60.87,57.43,52.08
HONG KONG LAND HDG.,BMG4587L1090,,,,,,,,,,8.39,5.65,9.42,6.22,10.02,7.7,8.33,10.3,9.68,10.85,13.95,13.16,12.36,10.58,19.31,
HISCOX DI,BMG4593F1389,,,,,,49.85,53.61,23.33,71.82,68.62,65.01,64.97,65.64,76.23,73.98,83.57,87.87,84.24,85.77,83.6,85.64,84.51,93.7,92.05,91.45
HOPSON DEVELOPMENT HOLDINGS,BMG4600H1198,,,,,,,,,,,,77.36,64.36,65.52,72.69,70.72,68.69,65.35,62.5,59.18,55.02,48.11,66.45,59.06,44.8
HUABAO INTL.HDG.,BMG4639H1227,,,,,,,,,,,,44.83,52.77,71.49,56.33,56.23,34.21,44.59,49.54,49.17,54.97,49.04,42.25,37.15,
JARDINE MATHESON HDG.,BMG507361001,,,,,,,,,,0.79,1.61,2.11,1.52,0.45,0.64,5.82,6.07,5.23,3.4,1.47,1.85,3.47,17.68,39.73,22.67
KERRY PROPERTIES,BMG524401079,,,,,,15.61,26.23,28.63,35.86,17.76,16.55,28.87,55.78,63.09,67.93,71.69,69.58,61.75,49.7,65.91,59.37,65.14,48.86,52.01,47.29
KUNLUN ENERGY,BMG5320C1082,,,,,,,,,,,,37.89,29.4,36.28,23.2,54.25,47.38,52.26,49.63,38.72,46.22,36.6,34.61,33.11,35.29
NABORS INDUSTRIES,BMG6359F1370,,,,65.24,59.52,63.48,64.51,71.18,77.47,54.83,65.81,79.61,76.48,76.39,82.4,87.22,66.79,60.25,75.04,82.41,81.81,80.27,85.31,83.57,87.93
CTF SERVICES,BMG668971101,,,,,,,17.92,26.76,8.79,18.2,11.36,19.56,28.58,14.24,19.76,30.79,36.15,39.66,42.49,42.47,29.22,39.55,,31.35,25.6
ORIENT OVERSEAS (INTL.),BMG677491539,,,,,,14.09,18.24,14.31,26.36,19.2,18.8,24.16,24.59,29.65,32.87,37.22,38.25,40.75,44.89,32.61,27.75,31.97,27.12,25.84,30.08
PACIFIC BASIN SHIP.,BMG684371393,,,,,,,,,55.05,33.12,40.44,57.71,74.31,53.2,67.08,76.75,76.67,84.24,88.36,87.29,87.56,85.65,82.66,74.34,63.84
RENAISSANCERE HDG.,BMG7496G1033,,,,,,81.06,69.61,67.65,73.03,59.89,68.06,59.76,70.49,70.49,64.05,55.16,60.58,57.34,59.1,59.73,57.66,70.59,58.63,53.96,
